,Store ID,City,State,Sales Region,New Expansion,Marketing Spend,Revenue,ROI,Profit,ROMS,ROMS%
0,1,Peoria,Arizona,Region 2,Old,2601,48610,1868.9,46009,1768.9,17.69
1,2,Midland,Texas,Region 2,Old,2727,45689,1675.43,42962,1575.43,15.75
2,3,Spokane,Washington,Region 2,Old,2768,49554,1790.25,46786,1690.25,16.9
3,4,Denton,Texas,Region 2,Old,2759,38284,1387.6,35525,1287.6,12.88
4,5,Overland Park,Kansas,Region 2,Old,2869,59887,2087.38,57018,1987.38,19.87
5,6,Yonkers,New York,Region 1,Old,3080,53827,1747.63,50747,1647.63,16.48
6,7,Birmingham,Alabama,Region 1,Old,3110,60338,1940.13,57228,1840.13,18.4
7,8,Antioch,California,Region 2,Old,2593,19569,754.69,16976,654.69,6.55
8,9,Worcester,Massachusetts,Region 1,Old,2675,59840,2237.01,57165,2137.01,21.37
9,10,Rochester,New York,Region 1,Old,2984,64906,2175.13,61922,2075.13,20.75
10,11,Rialto,California,Region 2,Old,2541,16860,663.52,14319,563.52,5.64
11,12,Santa Maria,California,Region 2,Old,2651,21988,829.42,19337,729.42,7.29
12,13,Las Cruces,New Mexico,Region 2,Old,2895,19888,686.98,16993,586.98,5.87
13,14,Jackson,Mississippi,Region 1,Old,3466,54701,1578.22,51235,1478.22,14.78
14,15,Hillsboro,Oregon,Region 2,Old,2686,18471,687.68,15785,587.68,5.88
15,16,Temecula,California,Region 2,Old,2795,16690,597.14,13895,497.14,4.97
16,17,Tallahassee,Florida,Region 1,Old,2737,47729,1743.84,44992,1643.84,16.44
17,18,Fontana,California,Region 2,Old,3085,63027,2043.01,59942,1943.01,19.43
18,19,Kent,Washington,Region 2,Old,2894,43183,1492.16,40289,1392.16,13.92
19,20,Broken Arrow,Oklahoma,Region 2,Old,2765,19120,691.5,16355,591.5,5.92
20,21,Concord,California,Region 2,Old,2521,38178,1514.4,35657,1414.4,14.14
21,22,Modesto,California,Region 2,Old,3077,56836,1847.12,53759,1747.12,17.47
22,23,Montgomery,Alabama,Region 1,Old,3287,52114,1585.46,48827,1485.46,14.85
23,24,Burbank,California,Region 2,Old,3679,20123,546.97,16444,446.97,4.47
24,25,Elk Grove,California,Region 2,Old,2918,49856,1708.57,46938,1608.57,16.09
25,26,Port St. Lucie,Florida,Region 1,Old,2420,55790,2305.37,53370,2205.37,22.05
26,27,Elizabeth,New Jersey,Region 1,Old,2557,45017,1760.54,42460,1660.54,16.61
27,28,Salt Lake City,Utah,Region 2,Old,3620,56921,1572.4,53301,1472.4,14.72
28,29,Waco,Texas,Region 2,Old,2483,39744,1600.64,37261,1500.64,15.01
29,30,Edison,New Jersey,Region 1,Old,3131,22972,733.7,19841,633.7,6.34
30,31,Boulder,Colorado,Region 2,Old,3083,22680,735.65,19597,635.65,6.36
31,32,Grand Rapids,Michigan,Region 1,Old,2808,65475,2331.73,62667,2231.73,22.32
32,33,Tyler,Texas,Region 2,Old,2984,21718,727.82,18734,627.82,6.28
33,34,Charleston,South Carolina,Region 1,Old,2484,34829,1402.13,32345,1302.13,13.02
34,35,Huntsville,Alabama,Region 1,Old,3335,59283,1777.6,55948,1677.6,16.78
35,36,Pearland,Texas,Region 2,Old,3127,20057,641.41,16930,541.41,5.41
36,37,Inglewood,California,Region 2,Old,2904,20455,704.37,17551,604.37,6.04
37,38,Oxnard,California,Region 2,Old,2318,64302,2774.03,61984,2674.03,26.74
38,39,Miramar,Florida,Region 1,Old,3488,49506,1419.32,46018,1319.32,13.19
39,40,Cape Coral,Florida,Region 1,Old,2886,52250,1810.46,49364,1710.46,17.1
40,41,Syracuse,New York,Region 1,Old,2373,41313,1740.96,38940,1640.96,16.41
41,42,Newport News,Virginia,Region 1,Old,2758,57625,2089.38,54867,1989.38,19.89
42,43,Lewisville,Texas,Region 2,Old,2607,16029,614.84,13422,514.84,5.15
43,44,Carrollton,Texas,Region 2,Old,3146,49191,1563.6,46045,1463.6,14.64
44,45,San Bernardino,California,Region 2,Old,3399,59870,1761.4,56471,1661.4,16.61
45,46,Pasadena,California,Region 2,Old,2790,48254,1729.53,45464,1629.53,16.3
46,47,Roseville,California,Region 2,Old,3220,43397,1347.73,40177,1247.73,12.48
47,48,Murrieta,California,Region 2,Old,2344,16372,698.46,14028,598.46,5.98
48,49,San Angelo,Texas,Region 2,Old,2939,50233,1709.19,47294,1609.19,16.09
49,50,Olathe,Kansas,Region 2,Old,3082,41460,1345.23,38378,1245.23,12.45
50,51,Akron,Ohio,Region 1,Old,2338,50364,2154.15,48026,2054.15,20.54
51,52,Fullerton,California,Region 2,Old,3246,44223,1362.38,40977,1262.38,12.62
52,53,Manchester,New Hampshire,Region 1,Old,2374,17006,716.34,14632,616.34,6.16
53,54,Everett,Washington,Region 2,Old,3129,15562,497.35,12433,397.35,3.97
54,55,West Covina,California,Region 2,Old,2939,21824,742.57,18885,642.57,6.43
55,56,Thornton,Colorado,Region 2,Old,2642,46490,1759.65,43848,1659.65,16.6
56,57,Hampton,Virginia,Region 1,Old,2871,38782,1350.82,35911,1250.82,12.51
57,58,Waterbury,Connecticut,Region 1,Old,3392,19350,570.46,15958,470.46,4.7
58,59,Ventura,California,Region 2,Old,3228,16652,515.86,13424,415.86,4.16
59,60,Davenport,Iowa,Region 1,Old,3175,23764,748.47,20589,648.47,6.48
60,61,Columbia,South Carolina,Region 1,Old,2874,42803,1489.32,39929,1389.32,13.89
61,62,Simi Valley,California,Region 2,Old,2792,41110,1472.42,38318,1372.42,13.72
62,63,Richmond,California,Region 2,Old,3924,19448,495.62,15524,395.62,3.96
63,64,Little Rock,Arkansas,Region 2,Old,2440,68828,2820.82,66388,2720.82,27.21
64,65,El Cajon,California,Region 2,Old,2950,19529,662.0,16579,562.0,5.62
65,66,Santa Clara,California,Region 2,Old,2462,29008,1178.23,26546,1078.23,10.78
66,67,Oceanside,California,Region 2,Old,3084,55684,1805.58,52600,1705.58,17.06
67,68,Davie,Florida,Region 1,Old,3177,45418,1429.59,42241,1329.59,13.3
68,69,Lakeland,Florida,Region 1,Old,3003,18297,609.29,15294,509.29,5.09
69,70,Centennial,Colorado,Region 2,Old,3697,18966,513.01,15269,413.01,4.13
70,71,Lowell,Massachusetts,Region 1,Old,2857,18838,659.36,15981,559.36,5.59
71,72,Ontario,California,Region 2,Old,3168,52078,1643.88,48910,1543.88,15.44
72,73,Palm Bay,Florida,Region 1,Old,2943,25321,860.38,22378,760.38,7.6
73,74,Murfreesboro,Tennessee,Region 2,Old,2777,40545,1460.03,37768,1360.03,13.6
74,75,Vancouver,Washington,Region 2,Old,3329,58951,1770.83,55622,1670.83,16.71
75,76,Topeka,Kansas,Region 2,Old,2854,40921,1433.81,38067,1333.81,13.34
76,77,West Valley City,Utah,Region 2,Old,2555,49609,1941.64,47054,1841.64,18.42
77,78,New Haven,Connecticut,Region 1,Old,3162,45550,1440.54,42388,1340.54,13.41
78,79,Pueblo,Colorado,Region 2,Old,2928,19563,668.14,16635,568.14,5.68
79,80,Costa Mesa,California,Region 2,Old,2275,41361,1818.07,39086,1718.07,17.18
80,81,Garden Grove,California,Region 2,Old,3285,57530,1751.29,54245,1651.29,16.51
81,82,Fort Lauderdale,Florida,Region 1,Old,3217,54768,1702.46,51551,1602.46,16.02
